2026 Rank,Previous Rank,Institution Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE
622,681,university of new brunswick,Canada,Americas,M,CO,VH,Public,7.0,701,18.0,701,22.0,786,41.0,458,68.0,346,65.0,308,69.0,282,51.0,801,25.0,646,63.0,444,28.0
1001,1001,university of new england,Australia,Oceania,L,CO,VH,Public,13.0,701,10.0,701,8.0,801,16.0,785,6.0,801,6.0,801,10.0,801,67.0,582,16.0,801,51.0,684,0.0
1001,1001,university of new hampshire,United States of America,Americas,L,CO,VH,Public,6.0,701,9.0,701,18.0,801,25.0,644,12.0,801,5.0,801,4.0,801,32.0,801,13.0,801,47.0,785,0.0
751,791,university of new mexico,United States of America,Americas,L,FC,VH,Public,14.0,701,17.0,701,57.0,320,20.0,705,11.0,801,7.0,801,6.0,801,84.0,283,11.0,801,54.0,626,0.0
761,0,university of nizwa,Oman,Asia,S,CO,VH,Private not for Profit,11.0,701,13.0,701,48.0,412,13.0,801,100.0,32,26.0,642,27.0,653,26.0,801,74.0,190,19.0,801,0.0
1001,1001,university of north carolina at charlotte,United States of America,Americas,L,CO,VH,Public,7.0,701,7.0,701,8.0,801,20.0,718,16.0,795,14.0,801,20.0,767,66.0,598,15.0,801,44.0,801,0.0
1201,1201,university of north carolina at greensboro,United States of America,Americas,L,FO,VH,Public,4.0,701,5.0,701,12.0,801,15.0,801,10.0,801,4.0,801,3.0,801,50.0,801,5.0,801,33.0,801,0.0
901,1001,university of north texas,United States of America,Americas,XL,FC,HI,Public,10.0,701,10.0,701,3.0,801,31.0,583,6.0,801,52.0,399,38.0,513,69.0,546,29.0,560,41.0,801,0.0
294,316,university of notre dame,United States of America,Americas,L,CO,VH,Private not for Profit,38.0,315,44.0,306,71.0,220,37.0,511,29.0,596,33.0,562,29.0,627,75.0,435,75.0,181,73.0,281,46.0
1201,1001,university of novi sad,Serbia,Europe,XL,FC,HI,Public,13.0,701,7.0,701,11.0,801,7.0,801,0.0,0,0.0,0,0.0,0,82.0,312,31.0,538,31.0,801,0.0
664,701,university of oklahoma,United States of America,Americas,L,FC,VH,Public,14.0,701,19.0,695,20.0,801,42.0,455,28.0,611,10.0,801,8.0,801,72.0,494,35.0,488,61.0,497,26.0
1401,1401,university of oradea,Romania,Europe,L,FC,MD,Public,8.0,701,4.0,701,7.0,801,4.0,801,2.0,801,9.0,801,14.0,801,39.0,801,9.0,801,42.0,801,0.0
751,801,university of oregon,United States of America,Americas,L,CO,VH,Public,23.0,543,23.0,592,15.0,801,25.0,632,11.0,801,5.0,801,4.0,801,54.0,785,37.0,470,56.0,582,0.0
119,119,university of oslo,Norway,Europe,L,FC,VH,Public,68.0,143,28.0,498,78.0,176,68.0,232,96.0,167,46.0,439,34.0,560,97.0,43,87.0,129,72.0,286,66.0
1201,1201,university of ostrava,Czechia,Europe,M,FC,HI,Public,8.0,701,3.0,701,21.0,801,6.0,801,35.0,540,32.0,564,24.0,702,29.0,801,5.0,801,24.0,801,0.0
197,214,university of otago,New Zealand,Oceania,L,FC,VH,Public,60.0,176,36.0,399,15.0,801,63.0,258,100.0,53,40.0,496,45.0,464,77.0,413,69.0,222,88.0,78,56.0
219,189,university of ottawa,Canada,Americas,XL,FC,VH,Public,36.0,339,39.0,361,5.0,801,85.0,125,96.0,165,86.0,193,87.0,163,92.0,141,50.0,342,87.0,90,54.0
342,344,university of oulu,Finland,Europe,M,FC,VH,Public,23.0,546,22.0,607,30.0,640,75.0,181,81.0,289,20.0,733,26.0,672,88.0,203,31.0,541,75.0,232,42.0
4,3,university of oxford,United Kingdom,Europe,L,FC,VH,Public,100.0,2,100.0,4,100.0,9,91.0,98,99.0,132,99.0,80,99.0,67,100.0,1,100.0,3,78.0,198,98.0
